Period,Total
2000-Jan,49045412
2000-Feb,49306303
2000-Mar,60443541
2000-Apr,58286680
2000-May,60533783
2000-Jun,64903295
2000-Jul,67346377
2000-Aug,66256804
2000-Sep,55900504
2000-Oct,58373996
2000-Nov,55590325
2000-Dec,54822970
2001-Jan,52634354
2001-Feb,49532578
2001-Mar,61575055
2001-Apr,59151645
2001-May,59662416
2001-Jun,64353323
2001-Jul,67965241
2001-Aug,68376612
2001-Sep,38601717
2001-Oct,43964770
2001-Nov,44915764
2001-Dec,47819118
2002-Jan,46224031
2002-Feb,44604154
2002-Mar,56897722
2002-Apr,52542164
2002-May,55116060
2002-Jun,59745334
2002-Jul,62664504
2002-Aug,62944802
2002-Sep,49096033
2002-Oct,54019748
2002-Nov,50105232
2002-Dec,56656594
2003-Jan,51197175
2003-Feb,47040806
2003-Mar,56765848
2003-Apr,51857179
2003-May,54335598
2003-Jun,60272900
2003-Jul,65962215
2003-Aug,64989766
2003-Sep,52121480
2003-Oct,56724442
2003-Nov,54128776
2003-Dec,58739845
2004-Jan,53979780
2004-Feb,53179685
2004-Mar,64035863
2004-Apr,62340117
2004-May,62530704
2004-Jun,68866389
2004-Jul,73335888
2004-Aug,70961513
2004-Sep,57881031
2004-Oct,63021122
2004-Nov,59453941
2004-Dec,62680310
2005-Jan,59629608
2005-Feb,55795165
2005-Mar,70595861
2005-Apr,65145550
2005-May,68268899
2005-Jun,72952958
2005-Jul,77432998
2005-Aug,73778917
2005-Sep,62046797
2005-Oct,63640895
2005-Nov,61518984
2005-Dec,64289340
2006-Jan,61035027
2006-Feb,56729212
2006-Mar,70799794
2006-Apr,68120558
2006-May,69352605
2006-Jun,74085927
2006-Jul,77798585
2006-Aug,74227040
2006-Sep,62345732
2006-Oct,66082158
2006-Nov,63548729
2006-Dec,65980779
2007-Jan,63016013
2007-Feb,57793832
2007-Mar,72700241
2007-Apr,69836156
2007-May,71933109
2007-Jun,76926452
2007-Jul,80988340
2007-Aug,79439827
2007-Sep,65913298
2007-Oct,69445349
2007-Nov,66250428
2007-Dec,67782533
2008-Jan,64667106
2008-Feb,61504426
2008-Mar,74575531
2008-Apr,68906881
2008-May,72725749
2008-Jun,76162104
2008-Jul,79707545
2008-Aug,77300567
2008-Sep,61198749
2008-Oct,65018204
2008-Nov,58512623
2008-Dec,63503416
2009-Jan,58373783
2009-Feb,53506580
2009-Mar,66027341
2009-Apr,65166298
2009-May,65868253
2009-Jun,71350226
2009-Jul,77136797
2009-Aug,74614770
2009-Sep,61435354
2009-Oct,64274739
2009-Nov,59011015
2009-Dec,63231672
2010-Jan,59651061
2010-Feb,53240065
2010-Mar,68307089
2010-Apr,64953249
2010-May,68850904
2010-Jun,74474550
2010-Jul,79304441
2010-Aug,76741308
2010-Sep,65341294
2010-Oct,69071625
2010-Nov,63334290
2010-Dec,65797939
2011-Jan,61630362
2011-Feb,55391206
2011-Mar,70158268
2011-Apr,67683558
2011-May,71711447
2011-Jun,76057910
2011-Jul,81423230
2011-Aug,77247893
2011-Sep,66345317
2011-Oct,68177878
2011-Nov,63492941
2011-Dec,66595642
2012-Jan,61940192
2012-Feb,58243794
2012-Mar,71696202
2012-Apr,68668302
2012-May,71887531
2012-Jun,76760758
2012-Jul,80499331
2012-Aug,78609006
2012-Sep,66007760
2012-Oct,67677764
2012-Nov,64039209
2012-Dec,66702988
2013-Jan,63139218
2013-Feb,58109870
2013-Mar,72764478
2013-Apr,68453537
2013-May,73574534
2013-Jun,78467131
2013-Jul,81974582
2013-Aug,80007788
2013-Sep,67203059
2013-Oct,69727370
2013-Nov,63611195
2013-Dec,70967038
2014-Jan,64743622
2014-Feb,58474895
2014-Mar,74237172
2014-Apr,71278692
2014-May,75712694
2014-Jun,80063355
2014-Jul,84404541
2014-Aug,81957559
2014-Sep,69028857
2014-Oct,71887841
2014-Nov,65654285
2014-Dec,72233639
2015-Jan,66538427
2015-Feb,60331343
2015-Mar,76271051
2015-Apr,73607258
2015-May,78502353
2015-Jun,83253406
2015-Jul,88951665
2015-Aug,85855967
2015-Sep,73017729
2015-Oct,76678056
2015-Nov,70460064
2015-Dec,75327875
2016-Jan,69778658
2016-Feb,65026219
2016-Mar,79121758
2016-Apr,75617423
2016-May,81226985
2016-Jun,87042101
2016-Jul,91256833
2016-Aug,86708517
2016-Sep,75735169
2016-Oct,77790769
2016-Nov,72625058
2016-Dec,77310977
2017-Jan,71876269
2017-Feb,64666059
2017-Mar,81311996
2017-Apr,79935852
2017-May,83939004
2017-Jun,90130481
2017-Jul,94641122
2017-Aug,90980861
2017-Sep,75092288
2017-Oct,81168038
2017-Nov,76124199
2017-Dec,80037670
2018-Jan,73795632
2018-Feb,68674042
2018-Mar,86103036
2018-Apr,83009398
2018-May,88525057
2018-Jun,94917274
2018-Jul,99373375
2018-Aug,95268223
2018-Sep,79470508
2018-Oct,84870973
2018-Nov,79928178
2018-Dec,83057947
2019-Jan,77332543
2019-Feb,71114995
2019-Mar,90468975
2019-Apr,86675238
2019-May,92967337
2019-Jun,98264340
2019-Jul,102282464
2019-Aug,98397810
2019-Sep,83798763
2019-Oct,88190827
2019-Nov,80993251
2019-Dec,90371201
2020-Jan,81511977
2020-Feb,74398772
